name,about_text,review_count,marketplace,review_count_normalized
ausnarcoslord,Our Goal is to satisfied our clients.,10,nexus,0.0011856770215793219
ActiveJ,"==================================================

ActiveJ

==================================================

The Active Team:
We are and have been a vastly experienced team on and off the markets for years. We are well established and have sold on markets such as Empire, Icarus, Dream and Torrez previously.  Our team boasts near 100% positive feedback on all markets with our sales in the hundreds and thousands region. We are not new to the game nor new to fulfilling each and every one of our clients needs.
Cocaine is and has always been our specialist field and we pride ourselves on this with the 3 bricks we have listed for sale.
We offer a sociable product, mid-range flake and our sublime quality untouched Rolex stamp.  Ensure every product is taken in moderation regardless of its strength particularly our mid-range and top selling Rolex stamp.
When ordering with the Active team you can expect high quality untouched mother of pearl flake and a brick to meet your every need.

Domestic Shipping:
We achieve NDD on 95% of packages ordered by 12pm Monday-Friday UK-UK.
All orders 3G or more can be purchased with special delivery service - Orders under 3G sent royal mail 1st class or additional £7 charge for special delivery.  0.2G and 0.5G are sent regular 1st class only.
Our stealth is subtle and perfect for domestic orders, no smell or contaminants are leaked from our multiply layered sealed packages. UK-UK is as safe as it comes delivery wise and our advanced yet simplistic stealth blends in with your average post.

Worldwide Shipping:
We also ship worldwide however this is only sent regular 1st class international post, not tracked. Orders will be crushed to powder or pebbles for maximum stealth and ease of crossing borders. Packs are solely the responsibility of the client and our team will not be held responsible for lost packs or seized ones however we boast a 90% success rate internationally using the above method. Time frames sit between 2-3 weeks for international post.  Message us privately and we can discuss any queries or issues with packages etc.
Our minimum international order is 1G of any brick we have listed.

======================================================

PLEASE MESSAGE FOR BULK ORDERS AND WE CAN WORK OUT A PRICE WITH EACH OTHER ALONGSIDE CUSTOM LISTINGS.

======================================================

T&Cs:
Please finalise once product is received, we will be reviewing and blacklisting clients who do not finalise early enough or let the timer to run. We had to implement this for our team’s safety within the market(s).

We will not entertain any attempted scammers or refund/reship disputes unless you can prove your parcel was seized.  Do not order unless you understand the risks involved within the DN. Seized packages UK-UK are an extreme rarity unless you are under investigation by LE or have meddlesome family members/partners or roommates.  We will try our very best to work alongside any disputes with the support system as we are here for client satisfaction and to run a business, both coincide side by side in this field. We want long term clientele and stand by this ethos.

Thanks and we look forward to your continued business.",211,nexus,0.02501778515532369
Broker01,"Good seller $_$

Only fair deals
Discounts for regular customers
100% product validity guarantee",4,nexus,0.00047427080863172874
Vamino,"WELCOME TO VAMINO's WORLD..THE BEST YOU CAN FIND IN THIS MARKET.
We are here to satisfy all customers equally..
We produce a variety of products that are best to your taste! check our listing
Not good to conclude except you try us, and we make sure to deliver just fine.",2,nexus,0.00023713540431586437
pinkcard,"A cordial greeting friend, if you are here it is because you are thinking about placing an order, you are surely hesitant to buy because of the high rate of Vendor scammers that are here in this dark jungle.

I am NOT asking you to trust me, rather I recommend that you investigate well who you are going to put your trust and your money in, many here promise that they sell the best, many were even simply reselling and I included myself who at one point was doing it but I understood If I want to have a good reputation I have to look for my items myself in order to sell the best of the best and that is why today I can be proud of my FEEDBACK, here I will leave you a list of the markets in which I am currently and those I have been to before.

NAME MARKET		DEALS		RATING	

Empire  Market		-695-		92.70%	
AlphaBay Market	-358-		95.8%
Apollon Market		-50-		84%
Dark  Market			-1-			80%
Liberty  Market		-6-			72.80%
DarkFox  Market		-63-		100%
Retro  Market			-12-		100%
Kerberos  Market	-7-			100%
Kingdom  Market	-27-		77%
ASAP  Market			-105-		94%
Bohemia Market		-67-		95%
Tor2Door Market	-202-		94%
DarkMatter Market	-2-			0%
Moonkey Market	-35-		100%
Torzon Market		-34-		97%
Nemesis Market		-728-		100%
Quantum Market	-85-		100%
MGM Market			-35-		98%
Quest Market			-105-		100%
Abacus Market		-31-		100%

Verify this information for yourself here
			https://prnt.sc/uQZw2o80ydeB
			http://dntrustmuq5ccf3lygrnhsprpdliakq7r2ljsspczmdsslj5wl4teeid.onion/?a=settings&tab=profiles#tabs

						WE NEVER PLAY WITH YOUR TIME OR YOUR MONEY.",4,nexus,0.00047427080863172874
Cannabisdoctor,"Willkommen bei Cannabis Doctor, Ihrem Begleiter durch die Welt hochwertiger Produkte mit THC :)

Der Anbau von Marihuana erfordert besondere Pflege, und genau das bieten wir Ihnen.
Unser Angebot umfasst eine breite Auswahl hochwertiger THC-Produkte, einschließlich Blüten, Haschisch und unserer exklusiven Auswahl von Bonbons mit hohem THC-Gehalt, die nur bei uns erhältlich sind.

Warum Cannabis Doctor wählen:

- Schneller Versand
- Diskrete Verpackung
- Produkte höchster Qualität

Kontaktieren Sie uns, wenn Sie Fragen haben oder weitere Informationen benötigen. Unser Team steht bereit, alle Ihre Fragen zu beantworten. Bei der Aufzucht unseres Marihuanas verwenden wir keine chemischen Düngemittel, sondern verlassen uns ausschließlich auf Bio-Düngemittel, und wir sind stolz darauf, dass wir die Einzigen auf dem Markt sind, die unsere exklusiven Bonbons anbieten.

""Wir versenden nur innerhalb der EU aus Deutschland mit DHL ohne Sendungsverfolgung.""

❗❗❗Jede Sendung wird sorgfältig in einer sicheren Verpackung verpackt, die effektiv das Eindringen jeglichen Geruchs verhindert und Anonymität garantiert. Wir halten eine strenge Richtlinie zum Schutz der persönlichen Daten unserer Kunden ein - keine Kundendaten werden bei uns gespeichert, und sobald die Informationen auf dem Adressetikett gedruckt sind, werden sie dauerhaft und unwiederbringlich gelöscht, dank der Verwendung von Live OS. Ihre Sicherheit und Privatsphäre haben für uns höchste Priorität.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
English:

Welcome to Cannabis Doctor, your guide through the world of high-quality THC products :)

Growing marijuana requires special care, and that's exactly what we offer you. Our range includes a wide selection of high-quality THC products, including flowers, hashish, and our exclusive range of candies with high THC content, available only from us.

Why choose Cannabis Doctor:

- Fast shipping
- Discreet packaging
- Highest quality products

Contact us if you have any questions or need further information. Our team is ready to answer all your queries. When cultivating our marijuana, we do not use any chemical fertilizers, relying solely on organic fertilizers, and we are proud to be the only ones in the market offering our exclusive candies.

""We only ship within the EU from Germany via DHL without tracking.""

❗❗❗Shipment is carefully packed in secure packaging that effectively prevents any odor from permeating and ensures anonymity. We adhere to a strict policy for safeguarding our customers' personal data  no customer data is stored with us, and once the information on the shipping label is printed, it is permanently erased and irrecoverable, thanks to the use of Live OS. Your security and privacy are our top priority.",52,nexus,0.006165520512212474
greenlightdistrictuk,"**Welcome to the Greenlight Future Family!**

Hey there, friends!

We're thrilled to share that our family's dream of creating a warm, honest space in the market scene is blooming beautifully. Thanks to folks like you, we're weaving a tapestry of trust and top-notch service that's as vibrant as our cannabis flowers!

**Quality You Can Feel, Prices You'll Love**

We're all about those good vibes and great plants. Our cannabis flowers and extracts? Nothing but the best. We’re talking the kind of quality that makes you say ""wow"" with every experience. And guess what? We do it all while keeping your wallet happy. That's our family promise to you.

**Your Smiles, Our Success**

Each time you share a positive thought, leave feedback, or give us those lovely stars, you're not just supporting our family business—you're helping us grow a community of joy and trust. We cherish every word because it helps us serve you better.

**Let's Grow Together!**

Our doors (and hearts) are always open. Whether you're popping by for a quick hello or you're here for some top-tier greens, we're all about making your day brighter. Fast shipping, friendly chats, and an honest-to-goodness love for what we do— that's the Greenlight Future way.

So come on in, make yourself at home, and let's celebrate the greener side of life together!

With warmth and gratitude,
The Greenlight Future Family",6,nexus,0.0007114062129475931
powerstims,,3,nexus,0.00035570310647379654
nOfALlingcuts,"We are not a new vendor on DARKNET we bring in quality and professional customer service check our historical background on other market.

http://dntrustmuq5ccf3lygrnhsprpdliakq7r2ljsspczmdsslj5wl4teeid.onion/?q=D5D08D61EFEBA5A061D79A87BBD80E846ED9067F",0,nexus,0.0
GermanBorn,,13,nexus,0.0015413801280531184
